asset_id,family,source_path,asset_name,disposition,rationale,tracked
collateral:_specimen,collateral,templates/collateral/_specimen.html,_specimen,reusable,Reusable authoring specimen for the collateral system.,yes
collateral:battle-card-agencies,collateral,templates/collateral/battle-card-agencies.html,battle-card-agencies,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:battle-card-bi-tools,collateral,templates/collateral/battle-card-bi-tools.html,battle-card-bi-tools,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:battle-card-generic-ai,collateral,templates/collateral/battle-card-generic-ai.html,battle-card-generic-ai,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:battle-card-template,collateral,templates/collateral/battle-card-template.html,battle-card-template,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:case-study-template,collateral,templates/collateral/case-study-template.html,case-study-template,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:demo-leave-behind,collateral,templates/collateral/demo-leave-behind.html,demo-leave-behind,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:one-pager,collateral,templates/collateral/one-pager.html,one-pager,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:pilot-plan,collateral,templates/collateral/pilot-plan.html,pilot-plan,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:pricing-one-pager,collateral,templates/collateral/pricing-one-pager.html,pricing-one-pager,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:roi-calculator,collateral,templates/collateral/roi-calculator.html,roi-calculator,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
collateral:security-pack,collateral,templates/collateral/security-pack.html,security-pack,needs revision,"Document needs claim, campaign-content, and positioning review.",yes
component:app/AuditLogRow,component,components/app/AuditLogRow.jsx,app/AuditLogRow,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/BillingPlanCard,component,components/app/BillingPlanCard.jsx,app/BillingPlanCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/CommandPalette,component,components/app/CommandPalette.jsx,app/CommandPalette,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/ConnectionHealthCard,component,components/app/ConnectionHealthCard.jsx,app/ConnectionHealthCard,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/DataTable,component,components/app/DataTable.jsx,app/DataTable,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/DateRangePicker,component,components/app/DateRangePicker.jsx,app/DateRangePicker,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/FilterBar,component,components/app/FilterBar.jsx,app/FilterBar,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/ModuleSwitcher,component,components/app/ModuleSwitcher.jsx,app/ModuleSwitcher,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/NotificationPref,component,components/app/NotificationPref.jsx,app/NotificationPref,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/PageHeader,component,components/app/PageHeader.jsx,app/PageHeader,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/Sidebar,component,components/app/Sidebar.jsx,app/Sidebar,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/StatTile,component,components/app/StatTile.jsx,app/StatTile,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/SyncStatusBadge,component,components/app/SyncStatusBadge.jsx,app/SyncStatusBadge,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/TeamMemberRow,component,components/app/TeamMemberRow.jsx,app/TeamMemberRow,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/UpgradeModal,component,components/app/UpgradeModal.jsx,app/UpgradeModal,reusable,Typed design-system primitive available to launch compositions.,yes
component:app/UsageMeter,component,components/app/UsageMeter.jsx,app/UsageMeter,reusable,Typed design-system primitive available to launch compositions.,yes
component:brand/Icon,component,components/brand/Icon.jsx,brand/Icon,reusable,Typed design-system primitive available to launch compositions.,yes
component:brand/Logo,component,components/brand/Logo.jsx,brand/Logo,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/AreaChart,component,components/charts/AreaChart.jsx,charts/AreaChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/BarChart,component,components/charts/BarChart.jsx,charts/BarChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/BulletChart,component,components/charts/BulletChart.jsx,charts/BulletChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/DonutChart,component,components/charts/DonutChart.jsx,charts/DonutChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/FunnelChart,component,components/charts/FunnelChart.jsx,charts/FunnelChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/GaugeChart,component,components/charts/GaugeChart.jsx,charts/GaugeChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/Heatmap,component,components/charts/Heatmap.jsx,charts/Heatmap,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/Legend,component,components/charts/Legend.jsx,charts/Legend,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/LineChart,component,components/charts/LineChart.jsx,charts/LineChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/SankeyChart,component,components/charts/SankeyChart.jsx,charts/SankeyChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/ScatterChart,component,components/charts/ScatterChart.jsx,charts/ScatterChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/Sparkline,component,components/charts/Sparkline.jsx,charts/Sparkline,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/StackedBarChart,component,components/charts/StackedBarChart.jsx,charts/StackedBarChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:charts/WaterfallChart,component,components/charts/WaterfallChart.jsx,charts/WaterfallChart,reusable,Typed design-system primitive available to launch compositions.,yes
component:conversation/AlfredMessage,component,components/conversation/AlfredMessage.jsx,conversation/AlfredMessage,reusable,Typed design-system primitive available to launch compositions.,yes
component:conversation/PromptSuggestions,component,components/conversation/PromptSuggestions.jsx,conversation/PromptSuggestions,reusable,Typed design-system primitive available to launch compositions.,yes
component:conversation/ReasoningState,component,components/conversation/ReasoningState.jsx,conversation/ReasoningState,reusable,Typed design-system primitive available to launch compositions.,yes
component:conversation/SeekComposer,component,components/conversation/SeekComposer.jsx,conversation/SeekComposer,reusable,Typed design-system primitive available to launch compositions.,yes
component:conversation/ThinkingTrace,component,components/conversation/ThinkingTrace.jsx,conversation/ThinkingTrace,reusable,Typed design-system primitive available to launch compositions.,yes
