master,platform,width,height,aspect_ratio,dimension_status,dimension_note,slot_status,slots,safe_zone_status,claim_status,placeholder_count,light_parity
social/blog-hero-light.html,Open Graph and blog,1600,900,1600:900,current,Current 16:9 source with a documented Open Graph crop.,missing metadata,,documented,not applicable,0,paired
social/blog-hero.html,Open Graph and blog,1600,900,1600:900,current,Current 16:9 source with a documented Open Graph crop.,missing metadata,,documented,not applicable,0,paired
social/blog-promo-light.html,Open Graph and blog,1080,1350,1080:1350,current,Compatible with current square or portrait feed families.,declared,cta|eyebrow|meta|title,missing explicit metadata,unresolved placeholder guard,1,paired
social/blog-promo.html,Open Graph and blog,1080,1350,1080:1350,current,Compatible with current square or portrait feed families.,declared,cta|eyebrow|meta|title,missing explicit metadata,unresolved placeholder guard,1,paired
social/brief-of-the-day-light.html,LinkedIn,1200,1350,1200:1350,review required,Confirm against current LinkedIn vertical guidance.,missing metadata,,missing explicit metadata,Northwind demo framed,0,paired
social/brief-of-the-day.html,LinkedIn,1200,1350,1200:1350,review required,Confirm against current LinkedIn vertical guidance.,missing metadata,,missing explicit metadata,Northwind demo framed,0,paired
social/carousel-cover-light.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",missing metadata,,missing explicit metadata,not applicable,0,paired
social/carousel-cover.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",missing metadata,,missing explicit metadata,not applicable,0,paired
social/carousel-end-light.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",declared,body|cta|headline|save,missing explicit metadata,not applicable,0,paired
social/carousel-end.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",declared,body|cta|headline|save,missing explicit metadata,not applicable,0,paired
social/carousel-slide-checklist-light.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",declared,item-1|item-2|item-3|item-4,missing explicit metadata,not applicable,0,paired
social/carousel-slide-checklist.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",declared,item-1|item-2|item-3|item-4,missing explicit metadata,not applicable,0,paired
social/carousel-slide-light.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",missing metadata,,missing explicit metadata,not applicable,0,paired
social/carousel-slide-stat-light.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",declared,claim|source|stat,missing explicit metadata,visible citation,0,paired
social/carousel-slide-stat.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",declared,claim|source|stat,missing explicit metadata,visible citation,0,paired
social/carousel-slide.html,LinkedIn,1080,1350,1080:1350,review required,"Valid portrait document-page shape, but LinkedIn paid carousel guidance recommends 1080x1080 cards.",missing metadata,,missing explicit metadata,not applicable,0,paired
social/definition-light.html,Cross-platform feed,1080,1080,1080:1080,current,Compatible with current square or portrait feed families.,declared,definition|eyebrow|pos|term,missing explicit metadata,not applicable,0,paired
social/definition.html,Cross-platform feed,1080,1080,1080:1080,current,Compatible with current square or portrait feed families.,declared,definition|eyebrow|pos|term,missing explicit metadata,not applicable,0,paired
social/facebook-cover-light.html,Facebook,820,312,820:312,"compatible, not recommended","Exceeds Facebook minimum, but current guidance favors a 16:9 Page cover and cites 851x315 for fast loading.",missing metadata,,documented,not applicable,0,paired
social/facebook-cover.html,Facebook,820,312,820:312,"compatible, not recommended","Exceeds Facebook minimum, but current guidance favors a 16:9 Page cover and cites 851x315 for fast loading.",missing metadata,,documented,not applicable,0,paired
