"asset_id","family","platform","placement","width","height","composition","copy_mode","theme","approval_state","sensitive","export_filename"
"alfred-flagship-launch__category-definition__linkedin__portrait__editorial-led__short__dark","category-definition","linkedin","portrait","1200","1350","editorial-led","short","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__editorial-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__editorial-led__short__light","category-definition","linkedin","portrait","1200","1350","editorial-led","short","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__editorial-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__editorial-led__medium__dark","category-definition","linkedin","portrait","1200","1350","editorial-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__editorial-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__editorial-led__medium__light","category-definition","linkedin","portrait","1200","1350","editorial-led","medium","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__editorial-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__editorial-led__long__dark","category-definition","linkedin","portrait","1200","1350","editorial-led","long","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__editorial-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__editorial-led__long__light","category-definition","linkedin","portrait","1200","1350","editorial-led","long","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__editorial-led__long__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__product-led__short__dark","category-definition","linkedin","portrait","1200","1350","product-led","short","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__product-led__short__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__product-led__short__light","category-definition","linkedin","portrait","1200","1350","product-led","short","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__product-led__short__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__product-led__medium__dark","category-definition","linkedin","portrait","1200","1350","product-led","medium","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__product-led__medium__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__product-led__medium__light","category-definition","linkedin","portrait","1200","1350","product-led","medium","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__product-led__medium__light__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__product-led__long__dark","category-definition","linkedin","portrait","1200","1350","product-led","long","dark","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__product-led__long__dark__v0_1_0__1x.png"
"alfred-flagship-launch__category-definition__linkedin__portrait__product-led__long__light","category-definition","linkedin","portrait","1200","1350","product-led","long","light","draft","false","alfred-flagship-launch__category-definition__linkedin-portrait__product-led__long__light__v0_1_0__1x.png"
